Desc	Orthogroup	Arabidopsis_thaliana	Anthoceros_angustus	Amborella_trichopoda	Azolla_filiculoides	Ceratopteris_richardii	Selaginella_moellendorffii	Chara_braunii	Klebsormidium_flaccidum	Mesotaenium_endlicherianum	Oryza_sativa	Pinus_lambertiana	Marchantia_polymorpha	Populus_trichocarpa	Physcomitrella_patens	Sequoiadendron_giganteum	Spirogloea_muscicola	Salvinia_cucullata	Gnetum_montanum	Vitis_vinifera	Volvox_carteri	Zea_may
(null)	OG0002228	3	1	5	3	2	1	1	3	0	1	3	2	4	2	2	0	2	3	2	0	4
(null)	OG0002245	2	1	1	2	2	1	4	1	1	1	2	1	3	2	6	3	2	3	4	1	1
(null)	OG0002360	2	1	2	3	7	0	1	1	1	2	4	1	3	2	2	3	2	1	1	2	2
(null)	OG0002427	2	1	2	2	3	1	1	1	1	2	5	1	4	2	3	3	1	2	2	1	2
(null)	OG0002450	3	1	2	2	3	2	1	1	1	2	3	1	2	2	3	3	3	2	2	1	2
(null)	OG0002711	2	2	2	2	1	1	1	1	1	2	2	1	4	2	2	3	1	2	2	0	5
(null)	OG0002733	2	2	1	2	3	1	2	0	1	2	2	1	4	3	4	0	2	2	3	0	2
(null)	OG0002768	2	2	1	3	2	3	2	1	1	3	1	1	3	2	0	3	1	4	2	1	1
(null)	OG0002780	2	1	2	1	3	2	1	1	1	1	1	2	3	4	2	3	4	2	1	1	1
(null)	OG0002782	2	1	1	2	2	2	1	1	1	3	4	1	1	4	3	3	1	2	1	0	3
(null)	OG0002873	1	1	2	1	2	1	1	1	1	3	6	1	2	2	3	5	1	1	1	1	1
(null)	OG0002971	2	2	2	0	2	1	1	1	1	3	4	1	4	1	3	2	1	2	2	1	1
(null)	OG0003159	2	1	1	1	1	1	2	1	1	1	1	1	4	3	1	6	1	1	2	1	3
(null)	OG0003271	1	2	1	1	1	0	0	1	3	2	3	1	2	4	1	3	1	1	6	0	1
(null)	OG0003324	1	1	1	2	3	2	2	1	1	1	2	2	1	4	0	4	3	1	1	1	1
(null)	OG0003458	2	1	1	2	1	1	1	1	1	1	2	1	2	3	1	3	5	1	1	1	2
(null)	OG0003530	2	1	2	1	1	1	0	1	1	2	2	1	4	4	2	3	0	1	2	0	3
(null)	OG0003656	2	1	1	2	2	0	1	1	0	5	3	1	2	2	1	0	2	2	1	1	3
